0.974638,50
1.01209,100
1.05166,150
1.09048,200
1.12299,250
1.14479,300
1.15481,350
1.16359,400
1.19625,450
1.21137,500
1.22678,550
1.24286,600
1.26698,650
1.29698,700
1.32447,750
1.33434,800
1.3617,850
1.37557,900
1.37557,950
1.38578,1000
1.40911,1050
1.42328,1100
1.42928,1150
1.43641,1200
1.4565,1250
1.47048,1300
1.47048,1350
1.47849,1400
1.49354,1450
1.50703,1500
1.51258,1550
1.51396,1600
1.53741,1650
1.53837,1700
1.54129,1750
1.56001,1800
1.56009,1850
1.56784,1900
1.57019,1950
1.58975,2000
1.59167,2050
1.60174,2100
1.61644,2150
1.6241,2200
1.62962,2250
1.63182,2300
1.64797,2350
1.65479,2400
1.66179,2450
1.66327,2500
1.66739,2550
1.67953,2600
1.68136,2650
1.69712,2700
1.69729,2750
1.71005,2800
